,respondent,variant,age,gender,education,income,web,stores,time,umux1,umux2,umux3,umux4,clickability,hotspotOptions,hotspotHelp,spamClicks,note,att1,att2
74,36,non-interactive,38 - 47,Woman,Technical/community college,"£10,000 - £19,999",Few times a day,Several times a month,00:09:42,5,7,4,7,No. Couldn't view certain things,"I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily., I sometimes deliberately clicked unrelated areas of the screen to make the blue flashing areas appear.","1:40, 1:45, 2:10, 2:25, 2:30, 3:30, 3:45, 4:30, 5:00, 6:35, 7:10","2:25, 6:50",Did not answer,Salad,30
75,39,non-interactive,38 - 47,Man,Graduate degree,"£10,000 - £19,999",Few times a day,Several times a week,00:14:36,1,7,1,6,"No, I couldn't hardly click anything. It also did not allow me to click on things which were applicable to the tasks. ",None of the above.,"1:20, 7:40",4:40,Did not answer,Salad,30
76,40,non-interactive,58+,Woman,High school diploma,"£10,000 - £19,999",Few times a day,Several times a week,00:10:37,2,6,2,4,No - some filters did't work when I would have expected they to,"I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily., I sometimes deliberately clicked unrelated areas of the screen to make the blue flashing areas appear., The blue flashing areas distracted me while navigating the prototype.","2:45, 6:35, 7:15, 7:35","2:45, 4:20",Did not answer,Salad,30
78,42,non-interactive,58+,Man,Technical/community college,"£10,000 - £19,999",Few times a week,Once a week,00:18:42,5,4,4,3,"No, but i did not expect to see description of all items.","The blue flashing areas helped me complete the task more easily., I sometimes deliberately clicked unrelated areas of the screen to make the blue flashing areas appear.","2:30, 5:00, 8:45, 13:00, 14:00",14:45,Did not answer,Salad,30
81,49,non-interactive,28 - 37,Man,Undergraduate degree,"£20,000 - £29,999",For a significant part of the day,Several times a week,00:06:27,6,5,5,3,yes,"I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily.","1:50, 3:35, 3:45, 3:50, 3:50, 4:00, 4:05, 4:10","1:50, 3:55",no,Salad,30
83,51,non-interactive,28 - 37,Woman,Undergraduate degree,"£75,000 - £100,000",For a significant part of the day,Several times a week,00:08:01,5,4,4,5,"No, I wanted to click return policy, and 'my orders' in task 3 first.
I also wanted to click the sort option in task 1.","I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily., I sometimes deliberately clicked unrelated areas of the screen to make the blue flashing areas appear.","1:20, 1:45, 3:05, 4:55, 5:10, 5:30, 5:40","1:20, 3:05",Did not answer,Salad,30
85,53,non-interactive,38 - 47,Woman,Undergraduate degree,"£10,000 - £19,999",Few times a day,Once a week,00:14:12,6,2,5,3,Yes,The blue flashing areas helped me complete the task more easily.,"2:45, 8:40","2:35, 6:00",Did not answer,Salad,30
86,54,non-interactive,28 - 37,Man,Graduate degree,No income,For a significant part of the day,Daily,00:06:05,4,4,5,3,"No, there were some links at the bottom of the page such as Contact an returns policy which were not clickable.","I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily.","0:55, 1:10, 1:55, 2:15","0:50, 1:10",no.,Salad,30
88,57,non-interactive,38 - 47,Man,Secondary education,"£30,000 - £39,999",For a significant part of the day,Several times a week,00:07:27,5,4,4,4,My main issue was with the copy/paste simulation in the Returns section.,I have noticed the blue flashing areas.,"1:40, 2:30, 2:40, 4:50, 5:00","1:20, 2:10, 2:30, 2:40, 4:40",Did not answer,Salad,30
89,60,non-interactive,48 - 57,Man,Graduate degree,"£40,000 - £49,999",For a significant part of the day,Daily,00:04:24,6,3,5,3,Yes,"I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily.","1:05, 1:40, 2:00, 3:20","1:50, 3:05",Did not answer,Salad,30
90,61,non-interactive,28 - 37,Woman,Secondary education,"£10,000 - £19,999",For a significant part of the day,Never,00:07:35,5,3,5,4,Yes it did ,"I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily., I sometimes deliberately clicked unrelated areas of the screen to make the blue flashing areas appear.","1:05, 1:25, 2:10, 3:50, 5:05, 5:15, 5:20, 5:30, 5:30, ","1:40, 3:05",Did not answer,Salad,30
91,62,non-interactive,38 - 47,Woman,High school diploma,"£30,000 - £39,999",Few times a day,Several times a week,00:09:59,3,6,3,5,"No, I would have expected to be able to process the return straight from my orders section. I also expected to be able to add to favourites without needing to choose the colour","I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily.","2:15, 2:50, 2:55, 4:00, 4:15, 6:05, 6:30","2:50, 6:20",Overall not the most intuitive experience,Salad,30
92,65,non-interactive,28 - 37,Man,Graduate degree,"£40,000 - £49,999",For a significant part of the day,Daily,00:08:23,5,1,5,2,Yes.,"I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily.","1:35, 1:40, 2:00, 2:10, 4:05, 4:10, 5:20, 5:40",,Did not answer,Salad,30
93,66,non-interactive,28 - 37,Woman,Graduate degree,"£20,000 - £29,999",For a significant part of the day,Several times a week,00:21:21,1,7,1,4,"No, only the login link worked.",I sometimes deliberately clicked unrelated areas of the screen to make the blue flashing areas appear.,,,It really didn't work for me. I was using Chrome on a laptop.,Salad,30
94,67,non-interactive,28 - 37,Woman,Technical/community college,"£10,000 - £19,999",For a significant part of the day,Daily,00:07:32,7,1,7,1,yes it did allow me to click everywhere i wished,I have noticed the blue flashing areas.,"2:05, 3:30, 3:40, 3:55, 4:55, 5:00, 5:35",3:20,nothing i wish to add,Salad,30
95,69,non-interactive,28 - 37,Man,Undergraduate degree,"£20,000 - £29,999",For a significant part of the day,Several times a week,00:07:12,6,3,4,5,I expected to be able to check out without needing to create and account,"I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily.","2:00, 2:05, 3:50, 4:05, 5:05",,Did not answer,Salad,30
97,72,non-interactive,48 - 57,Woman,Technical/community college,"£10,000 - £19,999",For a significant part of the day,Several times a week,00:12:45,4,5,4,4,"no, i found the first two tasks difficult to complete, but looking back I think it was maybe my fault for not exploring the pages better, maybe I should have logged in forst or something but that wasnt made clear.",None of the above.,6:45,6:40,Did not answer,Salad,30
99,77,non-interactive,38 - 47,Man,High school diploma,"£30,000 - £39,999",For a significant part of the day,Several times a week,00:08:26,2,5,4,5,No I should be able to click on everything for a true experience,"The blue flashing areas distracted me while navigating the prototype., The blue areas flash too quickly.","5:35, 5:55, 6:20",6:10,Did not answer,Salad,12
